Gene Name,Gene Symbol,Entrez Gene ID,Classification
"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",ABCC3,8714,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4,10257,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5,10057,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",ABCC6,368,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",ABCC8,6833,ABC Transporter
"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",ABCC9,10060,ABC Transporter
"ATP-binding cassette, sub-family D (ALD), member 1",ABCD1,215,ABC Transporter
"ATP-binding cassette, sub-family D (ALD), member 2",ABCD2,225,ABC Transporter
"ATP-binding cassette, sub-family D (ALD), member 3",ABCD3,5825,ABC Transporter
"ATP-binding cassette, sub-family D (ALD), member 4",ABCD4,5826,ABC Transporter
"ATP-binding cassette, sub-family E (OABP), member 1",ABCE1,6059,ABC Transporter
"ATP-binding cassette, sub-family F (GCN20), member 1",ABCF1,23,ABC Transporter
"ATP-binding cassette, sub-family F (GCN20), member 2",ABCF2,10061,ABC Transporter
"ATP-binding cassette, sub-family F (GCN20), member 3",ABCF3,55324,ABC Transporter
"ATP-binding cassette, sub-family G (WHITE), member 1",ABCG1,9619,ABC Transporter
"ATP-binding cassette, sub-family G (WHITE), member 2",ABCG2,9429,ABC Transporter
"ATP-binding cassette, sub-family G (WHITE), member 4",ABCG4,64137,ABC Transporter
"ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)",ABCG5,64240,ABC Transporter
"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)",ABCG8,64241,ABC Transporter
aminoadipate aminotransferase,AADAT,51166,Amino Acid
Aminoacylase 1,ACY1,95,Amino Acid
Aminoacylase 1-like,ACY1L,96,Amino Acid
aspartoacylase (aminocyclase) 3,ACY3,91703,Amino Acid
arginine decarboxylase,ADC,113451,Amino Acid
acireductone dioxygenase 1,ADI1,55256,Amino Acid
alkylglycerone phosphate synthase,AGPS,8540,Amino Acid
alanine-glyoxylate aminotransferase,AGXT,189,Amino Acid
alanine-glyoxylate aminotransferase 2,AGXT2,64902,Amino Acid
alanine-glyoxylate aminotransferase 2-like 1,AGXT2L1,64850,Amino Acid
alanine-glyoxylate aminotransferase 2-like 2,AGXT2L2,85007,Amino Acid
Asparagine synthetase,ASNS,440,Amino Acid
asparagine synthetase domain containing 1,ASNSD1,54529,Amino Acid
aspartoacylase (Canavan disease),ASPA,443,Amino Acid
asparaginase homolog (S. cerevisiae),ASPG,374569,Amino Acid
asparaginase like 1,ASRGL1,80150,Amino Acid
"cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)",CCBL1,883,Amino Acid
cysteine conjugate-beta lyase 2,CCBL2,56267,Amino Acid
"crystallin, mu",CRYM,1428,Amino Acid
D-amino-acid oxidase,DAO,1610,Amino Acid
D-aspartate oxidase,DDO,8528,Amino Acid
glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase),GCAT,23464,Amino Acid
glutaryl-Coenzyme A dehydrogenase,GCDH,2639,Amino Acid
glutamic-pyruvate transaminase (alanine aminotransferase),GPT,2875,Amino Acid
glutamic pyruvate transaminase (alanine aminotransferase) 2,GPT2,84706,Amino Acid
ilvB (bacterial acetolactate synthase)-like,ILVBL,10994,Amino Acid
lens protein with glutamine synthetase domain ,LGSN,51557,Amino Acid
pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha,PCBD1,5092,Amino Acid
pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2,PCBD2,84105,Amino Acid
saccharopine dehydrogenase (putative),SCCPDH,51097,Amino Acid
selenocysteine lyase,SCLY,51540,Amino Acid
serine dehydratase,SDS,10993,Amino Acid
serine dehydratase-like,SDSL,113675,Amino Acid
selenophosphate synthetase 1,SEPHS1,22929,Amino Acid
selenophosphate synthetase 2,SEPHS2,22928,Amino Acid
threonine synthase-like 1 (S. cerevisiae),THNSL1,79896,Amino Acid
threonine synthase-like 2 (S. cerevisiae),THNSL2,55258,Amino Acid
"trimethyllysine hydroxylase, epsilon",TMLHE,55217,Amino Acid
chitinase 3-like 1 (cartilage glycoprotein-39),CHI3L1,1116,Aminosugar
chitinase 3-like 2,CHI3L2,1117,Aminosugar
"chitinase, acidic",CHIA,27159,Aminosugar
chitinase domain containing 1,CHID1,66005,Aminosugar
chitinase 1,CHIT1,1118,Aminosugar
Cytidine monophosphate N-acetylneuraminic acid synthetase,CMAS,55907,Aminosugar
glutamine-fructose-6-phosphate transaminase 1,GFPT1,2673,Aminosugar
glutamine-fructose-6-phosphate transaminase 2,GFPT2,9945,Aminosugar
glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,GNE,10020,Aminosugar
glucosamine-6-phosphate deaminase 1,GNPDA1,10007,Aminosugar
glucosamine-6-phosphate deaminase 2,GNPDA2,132789,Aminosugar
glucosamine-phosphate N-acetyltransferase 1,GNPNAT1,64841,Aminosugar
"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits",GNPTAB,79158,Aminosugar
"N-acetylglucosamine-1-phosphate transferase, gamma subunit",GNPTG,84572,Aminosugar
N-acetylglucosamine kinase,NAGK,55577,Aminosugar
N-acetylneuraminic acid phosphatase,NANP,140838,Aminosugar
N-acetylneuraminic acid synthase (sialic acid synthase),NANS,54187,Aminosugar
N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase),NPL,80896,Aminosugar
phosphoglucomutase 3,PGM3,5238,Aminosugar
renin binding protein,RENBP,5973,Aminosugar
UDP-N-acteylglucosamine pyrophosphorylase 1,UAP1,6675,Aminosugar
UDP-N-acteylglucosamine pyrophosphorylase 1-like 1,UAP1L1,91373,Aminosugar
lactate dehydrogenase A,LDHA,3939,Anaerobic Glycolysis
lactate dehydrogenase A-like 6A,LDHAL6A,160287,Anaerobic Glycolysis
lactate dehydrogenase A-like 6B,LDHAL6B,92483,Anaerobic Glycolysis
lactate dehydrogenase B,LDHB,3945,Anaerobic Glycolysis
lactate dehydrogenase C,LDHC,3948,Anaerobic Glycolysis
lactate dehydrogenase D,LDHD,197257,Anaerobic Glycolysis
ATPase type 13A1,ATP13A1,57130,ATPase
ATPase type 13A2,ATP13A2,23400,ATPase
ATPase type 13A3,ATP13A3,79572,ATPase
ATPase type 13A4,ATP13A4,84239,ATPase
ATPase type 13A5,ATP13A5,344905,ATPase
methylmalonic aciduria (cobalamin deficiency) cblB type,MMAB,326625,B12
"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria",MMACHC,25974,B12
"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",MMADHC,27249,B12
5-methyltetrahydrofolate-homocysteine methyltransferase reductase,MTRR,4552,B12
"branched chain aminotransferase 1, cytosolic",BCAT1,586,BCAAs
"branched chain aminotransferase 2, mitochondrial",BCAT2,587,BCAAs
"branched chain keto acid dehydrogenase E1, alpha polypeptide",BCKDHA,593,BCAAs
"branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)",BCKDHB,594,BCAAs
dihydrolipoamide branched chain transacylase E2,DBT,1629,BCAAs
3-hydroxyisobutyrate dehydrogenase,HIBADH,11112,BCAAs
3-hydroxyisobutyryl-Coenzyme A hydrolase,HIBCH,26275,BCAAs
isovaleryl Coenzyme A dehydrogenase,IVD,3712,BCAAs
methylcrotonoyl-Coenzyme A carboxylase 1 (alpha),MCCC1,56922,BCAAs
methylcrotonoyl-Coenzyme A carboxylase 2 (beta),MCCC2,64087,BCAAs
GTP cyclohydrolase 1 (dopa-responsive dystonia),GCH1,2643,BH4
6-pyruvoyltetrahydropterin synthase,PTS,5805,BH4
quinoid dihydropteridine reductase,QDPR,5860,BH4
"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",SPR,6697,BH4
bile acid Coenzyme A: amino acid N-acyltransferase (glycine N-choloyltransferase),BAAT,570,Bile Acid
"cytochrome P450, family 27, subfamily A, polypeptide 1",CYP27A1,1593,Bile Acid
"cytochrome P450, family 7, subfamily A, polypeptide 1",CYP7A1,1581,Bile Acid
"cytochrome P450, family 7, subfamily B, polypeptide 1",CYP7B1,9420,Bile Acid
"cytochrome P450, family 8, subfamily B, polypeptide 1",CYP8B1,1582,Bile Acid
"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",HSD3B7,80270,Bile Acid
"fructose-1,6-bisphosphatase 1",FBP1,2203,Carbohydrate Storage
"fructose-1,6-bisphosphatase 2",FBP2,8789,Carbohydrate Storage
"glucose-6-phosphatase, catalytic subunit",G6PC,2538,Carbohydrate Storage
"glucose-6-phosphatase, catalytic, 2",G6PC2,57818,Carbohydrate Storage
"glucose 6 phosphatase, catalytic, 3",G6PC3,92579,Carbohydrate Storage
"glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)",GBE1,2632,Carbohydrate Storage
glycogenin 1,GYG1,2992,Carbohydrate Storage
glycogenin 2,GYG2,8908,Carbohydrate Storage
glycogen synthase 1 (muscle),GYS1,2997,Carbohydrate Storage
glycogen synthase 2 (liver),GYS2,2998,Carbohydrate Storage
phosphoenolpyruvate carboxykinase 1 (soluble),PCK1,5105,Carbohydrate Storage
phosphoenolpyruvate carboxykinase 2 (mitochondrial),PCK2,5106,Carbohydrate Storage
UDP-glucose pyrophosphorylase 2,UGP2,7360,Carbohydrate Storage
"cytochrome P450, family 51, subfamily A, polypeptide 1",CYP51A1,1595,Cholesterol
24-dehydrocholesterol reductase,DHCR24,1718,Cholesterol
7-dehydrocholesterol reductase,DHCR7,1717,Cholesterol
emopamil binding protein (sterol isomerase),EBP,10682,Cholesterol
emopamil binding protein-like,EBPL,84650,Cholesterol
farnesyl-diphosphate farnesyltransferase 1,FDFT1,2222,Cholesterol
"farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)",FDPS,2224,Cholesterol
hydroxysteroid (17-beta) dehydrogenase 7,HSD17B7,51478,Cholesterol
Lamin B receptor,LBR,3930,Cholesterol
lecithin-cholesterol acyltransferase,LCAT,3931,Cholesterol
"lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)",LSS,4047,Cholesterol
NAD(P) dependent steroid dehydrogenase-like,NSDHL,50814,Cholesterol
sterol-C4-methyl oxidase-like,SC4MOL,6307,Cholesterol
"sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like",SC5DL,6309,Cholesterol
Squalene epoxidase,SQLE,6713,Cholesterol
transmembrane 7 superfamily member 2,TM7SF2,7108,Cholesterol
acetoacetyl-CoA synthetase,AACS,65985,CoA
acyl-CoA thioesterase 1,ACOT1,641371,CoA
acyl-CoA thioesterase 11,ACOT11,26027,CoA
acyl-CoA thioesterase 12,ACOT12,134526,CoA
acyl-CoA thioesterase 2 ,ACOT2,10965,CoA
acyl-CoA thioesterase 4,ACOT4,122970,CoA
acyl-CoA thioesterase 6,ACOT6,641372,CoA
acyl-CoA thioesterase 7,ACOT7,11332,CoA
Acyl-CoA thioesterase 8,ACOT8,10005,CoA
acyl-CoA thioesterase 9,ACOT9,23597,CoA
Coenzyme A synthase,COASY,80347,CoA
pantothenate kinase 1,PANK1,53354,CoA
pantothenate kinase 2 (Hallervorden-Spatz syndrome),PANK2,80025,CoA
pantothenate kinase 3,PANK3,79646,CoA
pantothenate kinase 4,PANK4,55229,CoA
phosphopantothenoylcysteine decarboxylase,PPCDC,60490,CoA
phosphopantothenoylcysteine synthetase,PPCS,79717,CoA
S-adenosylhomocysteine hydrolase,AHCY,191,Cofactor
S-adenosylhomocysteine hydrolase-like 1,AHCYL1,10768,Cofactor
S-adenosylhomocysteine hydrolase-like 2,AHCYL2,23382,Cofactor
"butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1",BBOX1,8424,Cofactor
biotinidase,BTD,686,Cofactor
carboxyl ester lipase (bile salt-stimulated lipase),CEL,1056,Cofactor
carnitine acetyltransferase,CRAT,1384,Cofactor
cubilin (intrinsic factor-cobalamin receptor),CUBN,8029,Cofactor
"cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1,1591,Cofactor
"cytochrome P450, family 27, subfamily B, polypeptide 1",CYP27B1,1594,Cofactor
dihydroxyacetone kinase 2 homolog (S. cerevisiae),DAK,26007,Cofactor
FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae),FLAD1,80308,Cofactor
folate hydrolase (prostate-specific membrane antigen) 1,FOLH1,2346,Cofactor
gephyrin,GPHN,10243,Cofactor
holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase),HLCS,3141,Cofactor
molybdenum cofactor sulfurase,MOCOS,55034,Cofactor
molybdenum cofactor synthesis 1,MOCS1,4337,Cofactor
molybdenum cofactor synthesis 2,MOCS2,4338,Cofactor
molybdenum cofactor synthesis 3,MOCS3,27304,Cofactor
N-acetylglutamate synthase,NAGS,162417,Cofactor
riboflavin kinase,RFK,55312,Cofactor
Thiamine triphosphatase,THTPA,79178,Cofactor
thiamin pyrophosphokinase 1,TPK1,27010,Cofactor
"vitamin K epoxide reductase complex, subunit 1",VKORC1,79001,Cofactor
"vitamin K epoxide reductase complex, subunit 1-like 1",VKORC1L1,154807,Cofactor
michondrially encoded NADH dehydrogenase 1,MT-ND1,4535,Complex I
michondrially encoded NADH dehydrogenase 2,MT-ND2,4536,Complex I
michondrially encoded NADH dehydrogenase 3,MT-ND3,4537,Complex I
michondrially encoded NADH dehydrogenase 4,MT-ND4,4538,Complex I
michondrially encoded NADH dehydrogenase 4 like,MT-ND4L,4539,Complex I
michondrially encoded NADH dehydrogenase 5,MT-ND5,4540,Complex I
michondrially encoded NADH dehydrogenase 6,MT-ND6,4541,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa",NDUFA1,4694,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa",NDUFA10,4705,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa",NDUFA11,126328,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12",NDUFA12,55967,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13",NDUFA13,51079,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa",NDUFA2,4695,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa",NDUFA3,4696,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa",NDUFA4,4697,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like ",NDUFA4L,404215,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2",NDUFA4L2,56901,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa",NDUFA5,4698,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa",NDUFA6,4700,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa",NDUFA7,4701,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa",NDUFA8,4702,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa",NDUFA9,4704,Complex I
"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa",NDUFAB1,4706,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1",NDUFAF1,51103,Complex I
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 2",NDUFAF2,91942,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa",NDUFB1,4707,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa",NDUFB10,4716,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa",NDUFB11,54539,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa",NDUFB2,4708,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa",NDUFB3,4709,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 12kDa",NDUFB4,4710,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa",NDUFB5,4711,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa",NDUFB6,4712,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa",NDUFB7,4713,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa",NDUFB8,4714,Complex I
"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa",NDUFB9,4715,Complex I
"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",NDUFC1,4717,Complex I
"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa",NDUFC2,4718,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)",NDUFS1,4719,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)",NDUFS2,4720,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)",NDUFS3,4722,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)",NDUFS4,4724,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)",NDUFS5,4725,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)",NDUFS6,4726,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)",NDUFS7,374291,Complex I
"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",NDUFS8,4728,Complex I
"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa",NDUFV1,4723,Complex I
"NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa",NDUFV2,4729,Complex I
"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa",NDUFV3,4731,Complex I
"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",SDHA,6389,Complex II
"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",SDHB,6390,Complex II
"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",SDHC,6391,Complex II
"succinate dehydrogenase complex, subunit D, integral membrane protein",SDHD,6392,Complex II
cytochrome c-1,CYC1,1537,Complex III
"cytochrome c, somatic",CYCS,54205,Complex III
Cytochrome b,MT-CYB,4519,Complex III
ubiquinol-cytochrome c reductase complex (7.2 kD),UCRC,29796,Complex III
"ubiquinol-cytochrome c reductase, 6.4kDa subunit",UQCR,10975,Complex III
ubiquinol-cytochrome c reductase binding protein,UQCRB,7381,Complex III
ubiquinol-cytochrome c reductase core protein I,UQCRC1,7384,Complex III
ubiquinol-cytochrome c reductase core protein II,UQCRC2,7385,Complex III
"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",UQCRFS1,7386,Complex III
ubiquinol-cytochrome c reductase hinge protein,UQCRH,7388,Complex III
"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa",UQCRQ,27089,Complex III
mitochondrially encoded cytochrome c oxidase I ,COX1,4512,Complex IV
"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)",COX10,1352,Complex IV
"COX11 homolog, cytochrome c oxidase assembly protein (yeast)",COX11,1353,Complex IV
"COX15 homolog, cytochrome c oxidase assembly protein (yeast)",COX15,1355,Complex IV
COX16 cytochrome c oxidase assembly homolog (S. cerevisiae),COX16,51241,Complex IV
COX17 cytochrome c oxidase assembly homolog (S. cerevisiae),COX17,10063,Complex IV
COX18 cytochrome c oxidase assembly homolog (S. cerevisiae),COX18,285521,Complex IV
COX19 cytochrome c oxidase assembly homolog (S. cerevisiae),COX19,90639,Complex IV
mitochondrially encoded cytochrome c oxidase II,COX2,4513,Complex IV
mitochondrially encoded cytochrome c oxidase III,COX3,4514,Complex IV
cytochrome c oxidase subunit IV isoform 1,COX4I1,1327,Complex IV
cytochrome c oxidase subunit IV isoform 2 (lung),COX4I2,84701,Complex IV
cytochrome c oxidase subunit Va,COX5A,9377,Complex IV
Cytochrome c oxidase subunit Vb,COX5B,1329,Complex IV
cytochrome c oxidase subunit VIa polypeptide 1,COX6A1,1337,Complex IV
cytochrome c oxidase subunit VIa polypeptide 2,COX6A2,1339,Complex IV
cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous),COX6B1,1340,Complex IV
cytochrome c oxidase subunit VIb polypeptide 2 (testis),COX6B2,125965,Complex IV
cytochrome c oxidase subunit VIc,COX6C,1345,Complex IV
cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),COX7A1,1346,Complex IV
cytochrome c oxidase subunit VIIa polypeptide 2 (liver),COX7A2,1347,Complex IV
cytochrome c oxidase subunit VIIa polypeptide 2 like,COX7A2L,9167,Complex IV
cytochrome c oxidase subunit VIIb,COX7B,1349,Complex IV
cytochrome c oxidase subunit VIIb2,COX7B2,170712,Complex IV
cytochrome c oxidase subunit VIIc,COX7C,1350,Complex IV
cytochrome c oxidase subunit 8A (ubiquitous),COX8A,1351,Complex IV
cytochrome c oxidase subunit 8C,COX8C,341947,Complex IV
"creatine kinase, brain",CKB,1152,Creatine
"creatine kinase, ectopic expression",CKBE,1156,Creatine
"creatine kinase, muscle",CKM,1158,Creatine
"creatine kinase, mitochondrial 1A",CKMT1A ,1159,Creatine
"creatine kinase, mitochondrial 1B",CKMT1B,548596,Creatine
"creatine kinase, mitochondrial 2 (sarcomeric)",CKMT2,1160,Creatine
guanidinoacetate N-methyltransferase,GAMT,2593,Creatine
glycine amidinotransferase (L-arginine:glycine amidinotransferase),GATM,2628,Creatine
2-aminoethanethiol (cysteamine) dioxygenase,ADO,84890,Cysteine
cystathionine-beta-synthase,CBS,875,Cysteine
"cysteine dioxygenase, type I",CDO1,1036,Cysteine
cysteine sulfinic acid decarboxylase,CSAD,51380,Cysteine
cystathionase (cystathionine gamma-lyase),CTH,1491,Cysteine
NFS1 nitrogen fixation 1 homolog (S. cerevisiae),NFS1,9054,Cysteine
prenylcysteine oxidase 1,PCYOX1,51449,Cysteine
prenylcysteine oxidase 1 like,PCYOX1L,78991,Cysteine
sulfite oxidase,SUOX,6821,Cysteine
arylacetamide deacetylase (esterase),AADAC,13,Detox
arylacetamide deacetylase-like 1,AADACL1,57552,Detox
arylacetamide deacetylase-like 2,AADACL2,344752,Detox
arylacetamide deacetylase-like 3,AADACL3,126767,Detox
arylacetamide deacetylase-like 4,AADACL4,343066,Detox
aldo-keto reductase family 7-like,AKR7L,246181,Detox
butyrylcholinesterase,BCHE,590,Detox
Catalase,CAT,847,Detox
carboxylesterase 1 (monocyte/macrophage serine esterase 1),CES1,1066,Detox
"carboxylesterase 2 (intestine, liver)",CES2,8824,Detox
carboxylesterase 3 (brain),CES3,23491,Detox
carboxylesterase 7,CES7,221223,Detox
dihydrodiol dehydrogenase (dimeric),DHDH,27294,Detox
dipeptidase 1 (renal),DPEP1,1800,Detox
dipeptidase 2,DPEP2,64174,Detox
dipeptidase 3,DPEP3,64180,Detox
"epoxide hydrolase 1, microsomal (xenobiotic)",EPHX1,2052,Detox
"epoxide hydrolase 2, cytoplasmic",EPHX2,2053,Detox
flavin containing monooxygenase 1,FMO1,2326,Detox
flavin containing monooxygenase 2,FMO2,2327,Detox
flavin containing monooxygenase 3,FMO3,2328,Detox
flavin containing monooxygenase 4,FMO4,2329,Detox
flavin containing monooxygenase 5,FMO5,2330,Detox
"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))",SOD1,6647,Detox
"Superoxide dismutase 2, mitochondrial",SOD2,6648,Detox
"superoxide dismutase 3, extracellular",SOD3,6649,Detox
thiopurine S-methyltransferase,TPMT,7172,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A1",UGT1A1,54658,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A10",UGT1A10,54575,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A3",UGT1A3,54659,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A4",UGT1A4,54657,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A5",UGT1A5,54579,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A6",UGT1A6,54578,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A7",UGT1A7,54577,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A8",UGT1A8,54576,Detox
"UDP glucuronosyltransferase 1 family, polypeptide A9",UGT1A9,54600,Detox
